bug_id,run_id,model,total_messages,function_calls,valid_function_calls,function_repetitions,function_and_args_repetitions,content_length,success
Lang_30,9,llama3,23,9,4,1,1,796,False
Lang_26,9,llama3,13,4,2,1,1,642,True
Closure_126,9,llama3,11,3,3,0,0,1081,True
Math_33,9,llama3,15,5,4,0,0,636,False
Chart_6,9,llama3,11,3,3,0,0,1293,False
Math_44,9,llama3,13,4,4,0,0,949,False
Math_2,9,llama3,21,8,4,0,0,761,False
Lang_4,9,llama3,13,4,4,0,0,1213,True
Time_13,9,llama3,15,5,3,0,0,388,False
Lang_51,9,llama3,13,4,4,0,0,763,True
Math_13,9,llama3,9,2,2,0,0,919,False
Closure_106,9,llama3,13,4,4,1,1,1002,False
Lang_47,9,llama3,9,2,2,0,0,900,False
Closure_110,9,llama3,11,3,2,0,0,584,False
Closure_85,9,llama3,13,4,3,0,0,821,False
Closure_1,9,llama3,9,2,2,1,1,989,False
Lang_10,9,llama3,11,3,3,0,0,869,False
Math_52,9,llama3,13,4,1,2,2,422,False
Math_29,9,llama3,23,9,2,4,0,784,False
Chart_11,9,llama3,11,3,3,0,0,1447,True
Closure_46,9,llama3,11,3,3,0,0,928,False
Math_91,9,llama3,13,4,4,0,0,494,True
Closure_11,9,llama3,19,7,2,1,1,723,False
Math_68,9,llama3,13,4,3,0,0,740,False
Math_87,9,llama3,11,3,3,0,0,941,False
Closure_50,9,llama3,11,3,2,0,0,755,False
Math_69,9,llama3,13,4,2,0,0,999,True
Math_86,9,llama3,11,3,2,0,0,633,False
Closure_10,9,llama3,11,3,3,0,0,620,False
Math_90,9,llama3,13,4,3,0,0,766,True
Closure_47,9,llama3,17,6,3,1,1,654,False
Math_28,9,llama3,7,1,1,0,0,949,False
Chart_10,9,llama3,13,4,4,0,0,1251,True
Lang_11,9,llama3,13,4,2,2,1,1416,True
Closure_111,9,llama3,13,4,1,2,2,1235,False
Closure_84,9,llama3,11,3,2,0,0,1018,False
Math_106,9,llama3,11,3,3,0,0,1186,False
Closure_92,9,llama3,11,3,3,0,0,2163,False
Closure_107,9,llama3,9,2,2,1,1,1744,False
Lang_50,9,llama3,13,4,3,0,0,965,False
Math_12,9,llama3,9,2,2,0,0,871,False
Lang_5,9,llama3,15,5,2,0,0,331,True
Chart_7,9,llama3,13,4,3,0,0,1081,False
Math_45,9,llama3,13,4,4,0,0,602,False
Math_32,9,llama3,7,1,1,0,0,1008,True
Closure_127,9,llama3,11,3,3,2,2,1514,False
Math_65,9,llama3,15,5,4,0,0,943,False
Lang_27,9,llama3,11,3,3,0,0,326,False
Math_73,9,llama3,9,2,2,0,0,746,False
Time_24,9,llama3,11,3,3,0,0,836,False
Math_24,9,llama3,11,3,2,0,0,794,True
Closure_131,9,llama3,11,3,2,0,0,895,False
Closure_30,9,llama3,11,3,2,0,0,810,False
Closure_88,9,llama3,9,2,2,1,1,921,False
Closure_67,9,llama3,11,3,2,0,0,702,False
Chart_26,9,llama3,11,3,2,0,0,742,False
Time_7,9,llama3,11,3,3,0,0,775,False
Closure_71,9,llama3,11,3,3,1,1,1563,True
Math_49,9,llama3,11,3,3,0,0,900,False
Lang_9,9,llama3,11,3,3,0,0,820,False
Closure_26,9,llama3,15,5,2,0,0,831,False
Lang_57,9,llama3,17,6,5,0,0,1330,True
Math_15,9,llama3,11,3,3,0,0,705,False
Closure_100,9,llama3,13,4,4,1,1,911,False
Closure_95,9,llama3,13,4,2,0,0,531,False
Lang_41,9,llama3,26,11,4,3,3,143,True
Closure_83,9,llama3,13,4,4,1,1,545,False
Closure_116,9,llama3,15,5,4,0,0,691,False
Math_101,9,llama3,11,3,3,0,0,840,False
Closure_7,9,llama3,17,6,5,1,0,1575,False
Lang_16,9,llama3,11,3,3,0,0,452,False
Math_54,9,llama3,13,4,4,1,0,658,False
Chart_17,9,llama3,13,4,4,0,0,738,True
Closure_40,9,llama3,13,4,2,1,0,1126,False
Math_78,9,llama3,11,3,3,0,0,664,False
Math_97,9,llama3,13,4,3,0,0,667,False
Closure_17,9,llama3,11,3,2,0,0,1207,False
Math_81,9,llama3,13,4,4,0,0,1525,True
Math_39,9,llama3,15,5,5,1,1,1007,False
Math_8,9,llama3,26,11,4,3,3,563,False
Closure_21,9,llama3,11,3,2,0,0,546,False
Time_19,9,llama3,11,3,3,0,0,929,False
Closure_99,9,llama3,15,5,5,2,1,1340,False
Closure_76,9,llama3,13,4,4,0,0,1166,False
Chart_21,9,llama3,13,4,4,0,0,758,True
Math_19,9,llama3,9,2,2,0,0,642,False
Closure_60,9,llama3,9,2,2,1,1,1209,False
Closure_37,9,llama3,13,4,2,1,1,942,False
Math_58,9,llama3,11,3,3,0,0,1422,False
Math_23,9,llama3,11,3,3,0,0,564,False
Lang_61,9,llama3,13,4,4,0,0,827,False
Math_74,9,llama3,11,3,3,0,0,383,False
Lang_36,9,llama3,11,3,3,0,0,1006,False
Math_62,9,llama3,11,3,2,0,0,354,True
Lang_20,9,llama3,19,7,2,0,0,624,False
Closure_120,9,llama3,11,3,3,0,0,1844,False
Closure_121,9,llama3,11,3,2,1,1,1225,False
Math_63,9,llama3,13,4,3,0,0,449,True
Lang_21,9,llama3,9,2,2,0,0,761,True
Math_75,9,llama3,9,2,1,0,0,403,False
Lang_37,9,llama3,13,4,4,0,0,846,True
Time_22,9,llama3,13,4,3,1,0,613,False
Math_22,9,llama3,11,3,3,0,0,944,False
Lang_60,9,llama3,13,4,4,0,0,1424,True
Math_59,9,llama3,23,9,5,1,0,1153,False
Closure_36,9,llama3,9,2,1,0,0,605,False
Closure_61,9,llama3,11,3,3,0,0,1324,False
Chart_20,9,llama3,9,2,1,0,0,823,False
Math_18,9,llama3,11,3,2,0,0,888,False
Time_1,9,llama3,17,6,4,0,0,586,True
Closure_98,9,llama3,11,3,2,1,0,653,False
Closure_77,9,llama3,13,4,3,0,0,1014,False
Math_9,9,llama3,15,5,5,0,0,1503,True
Closure_20,9,llama3,11,3,2,0,0,1191,False
Time_18,9,llama3,11,3,3,0,0,903,True
Closure_57,9,llama3,9,2,2,0,0,810,True
Math_38,9,llama3,11,3,3,0,0,360,False
Math_80,9,llama3,9,2,2,0,0,895,False
Closure_16,9,llama3,11,3,2,0,0,1416,False
Math_79,9,llama3,11,3,3,0,0,759,False
Math_96,9,llama3,13,4,3,0,0,390,False
Closure_41,9,llama3,11,3,3,2,2,845,False
Chart_16,9,llama3,11,3,3,0,0,767,False
Lang_17,9,llama3,13,4,4,0,0,688,False
Math_55,9,llama3,15,5,5,0,0,1036,False
Closure_82,9,llama3,11,3,3,2,2,679,False
Closure_117,9,llama3,11,3,1,1,1,526,False
Math_100,9,llama3,11,3,2,0,0,941,True
Closure_6,9,llama3,11,3,1,1,0,479,False
Lang_40,9,llama3,9,2,2,0,0,817,True
Closure_101,9,llama3,13,4,4,1,1,1521,True
Closure_94,9,llama3,11,3,3,0,0,1039,False
Lang_56,9,llama3,21,8,4,0,0,758,False
Math_14,9,llama3,13,4,4,1,1,891,False
Math_5,9,llama3,17,6,2,3,3,644,True
Lang_3,9,llama3,11,3,3,0,0,510,False
Time_14,9,llama3,13,4,1,2,2,551,False
Math_43,9,llama3,15,5,5,1,0,1231,True
Chart_1,9,llama3,17,6,4,0,0,874,False
Closure_54,9,qwen2.5-coder,11,3,2,0,0,1833,False
Math_83,9,qwen2.5-coder,11,3,3,0,0,1877,False
Closure_15,9,qwen2.5-coder,7,1,1,0,0,1034,False
Math_95,9,qwen2.5-coder,9,2,2,0,0,2333,True
Lang_38,9,qwen2.5-coder,11,3,3,0,0,1681,False
Closure_42,9,qwen2.5-coder,7,1,1,0,0,828,False
Chart_15,9,qwen2.5-coder,7,1,1,0,0,993,False
Closure_39,9,qwen2.5-coder,15,5,4,1,0,1316,False
Math_56,9,qwen2.5-coder,13,4,4,1,1,2772,True
Lang_14,9,qwen2.5-coder,11,3,3,0,0,1302,True
Math_103,9,qwen2.5-coder,13,4,3,0,0,1241,True
Closure_5,9,qwen2.5-coder,15,5,5,2,0,2072,False
Closure_81,9,qwen2.5-coder,11,3,2,0,0,1982,False
Closure_114,9,qwen2.5-coder,11,3,1,1,0,1215,False
Lang_43,9,qwen2.5-coder,13,4,2,2,0,3324,False
Closure_78,9,qwen2.5-coder,17,6,2,1,1,1041,False
Closure_102,9,qwen2.5-coder,9,2,2,0,0,2450,False
Closure_97,9,qwen2.5-coder,11,3,2,0,0,1256,False
Math_17,9,qwen2.5-coder,7,1,1,0,0,1194,False
Lang_55,9,qwen2.5-coder,17,6,6,2,0,1107,False
Time_17,9,qwen2.5-coder,13,4,4,0,0,1247,True
Math_6,9,qwen2.5-coder,11,3,2,0,0,2799,False
Chart_2,9,qwen2.5-coder,17,6,3,1,1,1052,False
Math_40,9,qwen2.5-coder,11,3,3,1,0,1178,False
Math_37,9,qwen2.5-coder,13,4,4,0,0,1327,True
Closure_122,9,qwen2.5-coder,13,4,2,1,0,1304,False
Closure_58,9,qwen2.5-coder,17,6,4,3,0,1659,False
Lang_22,9,qwen2.5-coder,19,7,3,2,0,1662,True
Math_60,9,qwen2.5-coder,9,2,2,0,0,1389,True
Lang_34,9,qwen2.5-coder,11,3,3,0,0,1047,False
Math_99,9,qwen2.5-coder,9,2,2,0,0,1570,True
Math_76,9,qwen2.5-coder,11,3,3,0,0,1495,True
Closure_19,9,qwen2.5-coder,15,5,2,2,2,1085,False
Chart_19,9,qwen2.5-coder,19,7,5,0,0,583,True
Lang_63,9,qwen2.5-coder,17,6,2,1,1,1105,False
Math_21,9,qwen2.5-coder,7,1,1,0,0,2352,False
Lang_18,9,qwen2.5-coder,13,4,3,2,0,2729,False
Closure_35,9,qwen2.5-coder,11,3,2,1,0,1617,False
Closure_62,9,qwen2.5-coder,9,2,2,0,0,878,False
Closure_9,9,qwen2.5-coder,11,3,3,0,0,988,True
Closure_118,9,qwen2.5-coder,11,3,1,0,0,922,False
Chart_23,9,qwen2.5-coder,19,7,2,1,1,775,False
Lang_59,9,qwen2.5-coder,11,3,3,0,0,2668,True
Closure_74,9,qwen2.5-coder,11,3,2,0,0,1314,False
Time_2,9,qwen2.5-coder,9,2,2,0,0,725,False
Closure_23,9,qwen2.5-coder,17,6,2,2,2,944,False
Closure_22,9,qwen2.5-coder,11,3,2,0,0,614,False
Time_3,9,qwen2.5-coder,15,5,5,2,0,567,True
Chart_22,9,qwen2.5-coder,11,3,2,0,0,708,True
Lang_58,9,qwen2.5-coder,9,2,2,0,0,2633,False
Closure_8,9,qwen2.5-coder,11,3,1,1,0,593,False
Closure_119,9,qwen2.5-coder,11,3,1,1,1,472,False
Closure_34,9,qwen2.5-coder,11,3,3,0,0,1603,False
Lang_19,9,qwen2.5-coder,9,2,2,0,0,1781,False
Chart_18,9,qwen2.5-coder,7,1,1,0,0,1399,False
Lang_62,9,qwen2.5-coder,11,3,3,1,0,1737,True
Closure_18,9,qwen2.5-coder,9,2,2,0,0,2435,False
Time_20,9,qwen2.5-coder,9,2,2,0,0,5172,False
Lang_35,9,qwen2.5-coder,9,2,2,0,0,1372,True
Math_98,9,qwen2.5-coder,11,3,3,0,0,2931,False
Math_77,9,qwen2.5-coder,9,2,2,0,0,824,True
Lang_23,9,qwen2.5-coder,9,2,1,0,0,1192,False
Math_61,9,qwen2.5-coder,9,2,2,0,0,3459,False
Closure_123,9,qwen2.5-coder,13,4,4,0,0,1458,False
Closure_59,9,qwen2.5-coder,9,2,2,0,0,1724,False
Math_36,9,qwen2.5-coder,7,1,1,0,0,1539,False
Chart_3,9,qwen2.5-coder,7,1,1,0,0,1176,True
Math_41,9,qwen2.5-coder,13,4,2,0,0,1348,False
Time_16,9,qwen2.5-coder,11,3,3,0,0,129,True
Math_7,9,qwen2.5-coder,9,2,1,0,0,1533,False
Lang_1,9,qwen2.5-coder,9,2,2,0,0,3251,False
Math_16,9,qwen2.5-coder,15,5,3,2,0,1501,False
Lang_54,9,qwen2.5-coder,7,1,1,0,0,1436,False
Closure_79,9,qwen2.5-coder,11,3,3,0,0,876,False
Closure_103,9,qwen2.5-coder,11,3,2,0,0,871,False
Closure_96,9,qwen2.5-coder,11,3,2,0,0,1949,False
Lang_42,9,qwen2.5-coder,15,5,1,3,3,758,False
Math_102,9,qwen2.5-coder,15,5,5,1,0,3415,False
Closure_4,9,qwen2.5-coder,9,2,2,0,0,469,False
Closure_80,9,qwen2.5-coder,11,3,3,0,0,902,False
Closure_115,9,qwen2.5-coder,9,2,2,0,0,3095,False
Math_57,9,qwen2.5-coder,11,3,3,0,0,1330,False
Lang_15,9,qwen2.5-coder,11,3,2,0,0,1765,False
Closure_38,9,qwen2.5-coder,11,3,3,0,0,827,False
Chart_14,9,qwen2.5-coder,17,6,2,2,2,661,False
Closure_43,9,qwen2.5-coder,7,1,1,0,0,1677,False
Math_94,9,qwen2.5-coder,7,1,1,0,0,936,True
Lang_39,9,qwen2.5-coder,15,5,2,0,0,1368,False
Closure_14,9,qwen2.5-coder,7,1,1,0,0,1306,False
Math_82,9,qwen2.5-coder,9,2,2,0,0,2235,False
Closure_55,9,qwen2.5-coder,7,1,1,0,0,1406,False
Math_31,9,qwen2.5-coder,15,5,1,1,1,2256,False
Closure_124,9,qwen2.5-coder,13,4,2,1,0,2190,False
Lang_24,9,qwen2.5-coder,9,2,2,0,0,2140,False
Math_89,9,qwen2.5-coder,17,6,6,2,2,1613,True
Math_66,9,qwen2.5-coder,9,2,2,0,0,1043,False
Lang_32,9,qwen2.5-coder,11,3,2,1,0,2443,False
Math_70,9,qwen2.5-coder,19,7,3,4,3,1684,True
Time_27,9,qwen2.5-coder,11,3,3,1,0,1467,False
Lang_65,9,qwen2.5-coder,9,2,2,0,0,902,False
Math_27,9,qwen2.5-coder,9,2,2,0,0,1103,False
Closure_132,9,qwen2.5-coder,11,3,3,0,0,2990,False
Closure_48,9,qwen2.5-coder,7,1,1,0,0,2799,False
Closure_33,9,qwen2.5-coder,7,1,1,0,0,1186,False
Lang_49,9,qwen2.5-coder,9,2,2,0,0,978,True
Closure_64,9,qwen2.5-coder,15,5,4,2,0,2614,False
Chart_25,9,qwen2.5-coder,7,1,1,0,0,1060,False
Closure_72,9,qwen2.5-coder,9,2,1,0,0,800,False
Time_4,9,qwen2.5-coder,9,2,2,0,0,2234,False
Closure_108,9,qwen2.5-coder,9,2,2,0,0,1301,False
Chart_8,9,qwen2.5-coder,7,1,1,0,0,966,True
Closure_25,9,qwen2.5-coder,11,3,3,0,0,1296,False
Closure_128,9,qwen2.5-coder,11,3,3,0,0,2189,False
Closure_52,9,qwen2.5-coder,17,6,4,3,0,1985,False
Math_85,9,qwen2.5-coder,9,2,2,0,0,4030,False
Lang_28,9,qwen2.5-coder,11,3,3,0,0,1796,True
Closure_13,9,qwen2.5-coder,7,1,1,0,0,1487,False
Math_93,9,qwen2.5-coder,7,1,1,0,0,693,True
Closure_44,9,qwen2.5-coder,11,3,3,0,0,840,False
Chart_13,9,qwen2.5-coder,11,3,3,0,0,3829,False
Math_50,9,qwen2.5-coder,9,2,1,0,0,2162,False
Lang_12,9,qwen2.5-coder,7,1,1,0,0,905,False
Closure_68,9,qwen2.5-coder,11,3,3,0,0,2675,False
Math_105,9,qwen2.5-coder,7,1,1,0,0,3827,False
Closure_3,9,qwen2.5-coder,13,4,3,0,0,1919,False
Closure_112,9,qwen2.5-coder,9,2,2,0,0,656,False
Closure_87,9,qwen2.5-coder,15,5,4,2,0,958,False
Lang_45,9,qwen2.5-coder,9,2,2,0,0,1957,False
Closure_91,9,qwen2.5-coder,7,1,1,0,0,378,False
Closure_104,9,qwen2.5-coder,13,4,3,0,0,380954,False
Time_8,9,qwen2.5-coder,9,2,2,0,0,1624,True
Math_11,9,qwen2.5-coder,15,5,2,2,2,1740,False
Lang_53,9,qwen2.5-coder,11,3,3,1,1,662,False
Time_11,9,qwen2.5-coder,9,2,2,0,0,1316,False
Closure_29,9,qwen2.5-coder,9,2,1,0,0,600,False
Lang_6,9,qwen2.5-coder,17,6,3,2,2,1444,False
Math_46,9,qwen2.5-coder,13,4,4,2,1,1595,False
Chart_4,9,qwen2.5-coder,7,1,1,0,0,1948,False
Math_47,9,qwen2.5-coder,11,3,3,0,0,1455,False
Chart_5,9,qwen2.5-coder,19,7,1,1,1,707,False
Time_10,9,qwen2.5-coder,11,3,1,1,1,1815,False
Closure_28,9,qwen2.5-coder,11,3,2,0,0,1152,False
Math_1,9,qwen2.5-coder,19,7,2,3,1,1391,False
Lang_7,9,qwen2.5-coder,9,2,2,0,0,194,False
Math_10,9,qwen2.5-coder,7,1,1,0,0,1228,False
Lang_52,9,qwen2.5-coder,17,6,1,3,3,1370,False
Closure_90,9,qwen2.5-coder,9,2,1,0,0,1757,False
Closure_105,9,qwen2.5-coder,15,5,2,2,0,2658,False
Time_9,9,qwen2.5-coder,13,4,3,0,0,1007,True
Lang_44,9,qwen2.5-coder,11,3,3,0,0,3706,False
Closure_69,9,qwen2.5-coder,9,2,2,0,0,2130,False
Math_104,9,qwen2.5-coder,17,6,1,2,0,1817,False
Closure_2,9,qwen2.5-coder,9,2,2,0,0,2164,True
Closure_113,9,qwen2.5-coder,9,2,2,0,0,1344,False
Closure_86,9,qwen2.5-coder,9,2,2,0,0,2102,False
Math_51,9,qwen2.5-coder,9,2,2,0,0,2684,False
Lang_13,9,qwen2.5-coder,11,3,3,1,0,2497,False
Chart_12,9,qwen2.5-coder,13,4,3,1,0,943,False
Closure_45,9,qwen2.5-coder,11,3,2,0,0,2171,False
Math_92,9,qwen2.5-coder,11,3,3,0,0,2619,True
Closure_12,9,qwen2.5-coder,7,1,1,0,0,570,False
Math_84,9,qwen2.5-coder,9,2,1,0,0,1334,False
Lang_29,9,qwen2.5-coder,7,1,1,0,0,786,True
Closure_129,9,qwen2.5-coder,11,3,1,1,0,1848,False
Closure_53,9,qwen2.5-coder,9,2,2,0,0,1231,True
Closure_24,9,qwen2.5-coder,13,4,3,1,0,978,False
Chart_9,9,qwen2.5-coder,11,3,1,1,1,1737,True
Closure_73,9,qwen2.5-coder,11,3,3,0,0,2380,False
Time_5,9,qwen2.5-coder,7,1,1,0,0,1756,True
Closure_109,9,qwen2.5-coder,13,4,3,1,1,1681,False
Chart_24,9,qwen2.5-coder,11,3,3,0,0,848,True
Closure_65,9,qwen2.5-coder,13,4,3,0,0,1820,False
